Order_id,qty,price_each
141234,1,700
141235,1,14.95
141236,2,11.99
141237,1,149.99
141238,1,11.99
141239,1,2.99
141240,1,389.99
141241,1,11.95
141242,1,99.99
141243,1,150
141244,1,150
141245,1,1700
141246,3,2.99
141247,1,149.99
141248,1,300
141249,1,149.99
141250,1,400
141251,1,150
141252,1,11.95
141253,1,3.84
141254,1,2.99
141255,1,11.95
141256,1,600
141257,1,150
141258,1,3.84
141259,2,2.99
141260,1,2.99
141261,1,11.95
141262,1,2.99
141263,1,99.99
141264,1,150
141265,1,150
141266,1,389.99
141267,1,150
141268,1,3.84
141269,1,389.99
141270,1,11.99
141271,1,11.95
141272,1,2.99
141273,2,11.99
141274,1,11.95
141275,1,11.95
141275,1,11.99
141276,1,14.95
141277,1,99.99
141278,1,14.95
141279,1,14.95
141280,1,2.99
141281,1,14.95
141282,1,400
141283,1,300
141284,1,11.99
141285,3,2.99
141286,1,389.99
141287,1,99.99
141288,1,1700
141289,1,109.99
141290,1,150
141290,3,3.84
141291,1,3.84
141292,1,2.99
141293,1,11.95
141294,1,99.99
141295,1,3.84
141296,1,11.95
141297,1,14.95
141298,1,14.95
141299,1,2.99
141300,1,150
141301,1,150
141302,2,2.99
141303,1,3.84
141304,1,11.95
141305,3,2.99
141306,1,11.99
141307,1,2.99
141308,1,149.99
141309,2,2.99
141310,1,2.99
141311,1,379.99
141312,1,150
141313,1,14.95
141314,1,1700
141315,1,11.95
141316,3,2.99
141317,1,149.99
141318,1,99.99
141319,1,99.99
141320,1,3.84
141321,1,99.99
141322,2,2.99
141323,1,11.95
141324,1,11.95
141325,1,99.99
141326,1,600
141327,1,11.95
141328,1,999.99
141329,1,11.95
141330,1,11.99
141331,1,300
141332,1,11.95
141333,1,149.99
141334,1,11.95
141335,5,2.99
141336,1,700
141337,1,99.99
141338,1,2.99
141339,1,2.99
141340,1,14.95
141341,1,600
141342,1,11.99
141343,1,99.99
141344,1,150
141345,1,11.95
141346,1,150
141347,1,3.84
141348,2,11.95
141349,1,14.95
141350,1,14.95
141351,2,11.95
141352,1,14.95
141353,1,11.95
141354,1,99.99
141355,1,389.99
141356,1,14.95
141357,1,14.95
141358,1,14.95
141359,2,2.99
141360,1,1700
141361,2,150
141362,1,14.95
141363,1,11.99
141364,1,3.84
141365,1,400
141365,1,11.99
141366,1,300
141367,1,389.99
141368,1,11.95
141369,1,14.95
141370,2,2.99
141371,1,14.95
141372,1,2.99
141373,1,149.99
141374,1,11.99
141375,1,389.99
141376,1,11.99
141377,1,11.99
141378,1,11.95
141379,1,3.84
141380,1,11.95
141381,1,99.99
141382,1,2.99
141383,1,2.99
141384,1,600
141384,1,11.95
141385,1,1700
141386,1,14.95
141387,1,2.99
141388,1,14.95
141389,1,3.84
141390,1,11.99
141391,1,99.99
141392,1,150
141393,1,11.95
141394,1,700
141395,1,2.99
141396,1,11.95
141397,1,14.95
141398,1,2.99
141399,1,999.99
141400,1,14.95
141401,1,150
141402,1,2.99
141403,1,14.95
141404,1,3.84
141405,1,11.99
141406,1,11.95
141407,1,150
141408,1,150
141409,1,99.99
141410,1,149.99
141411,1,11.99
141412,2,3.84
141413,1,3.84
141414,1,600
141415,1,11.99
141416,1,2.99
141417,1,99.99
141418,1,150
141419,1,11.99
141420,2,14.95
141421,1,300
141422,1,150
141423,2,14.95
141424,1,150
141425,1,11.99
141426,1,600
141427,1,11.95
141428,1,3.84
141429,1,150
141430,1,379.99
141431,1,11.95
141432,1,11.95
141433,1,600
141434,1,389.99
141435,1,11.95
141436,1,99.99
141437,1,700
141438,2,11.99
141439,1,300
141440,1,600
141441,1,3.84
141442,1,600
141443,1,14.95
141444,1,2.99
141445,1,11.95
141446,1,99.99
141447,1,2.99
141448,1,99.99
141449,1,11.95
141450,1,600
141450,1,99.99
141451,1,3.84
141452,1,99.99
141453,1,1700
141454,1,99.99
141455,1,150
141456,1,2.99
141457,1,700
141457,1,150
141458,1,700
141459,1,2.99
141460,1,700
141461,1,14.95
141462,1,11.99
141463,1,150
141464,2,3.84
141465,1,14.95
141466,2,2.99
141467,1,99.99
141468,1,300
141469,1,300
141470,1,2.99
141471,1,150
141472,1,700
141473,1,700
141474,1,150
141475,1,14.95
141476,1,700
141477,1,3.84
141478,1,600
141478,1,150
141479,1,99.99
141480,2,3.84
141481,1,3.84
141482,1,11.95
141483,1,300
141484,1,11.95
141485,1,389.99
141486,1,11.95
141487,1,99.99
141488,1,99.99
141489,2,2.99
141490,1,149.99
141491,1,99.99
141492,1,109.99
141493,1,379.99
141494,2,3.84
141495,1,1700
141496,1,11.99
141497,1,11.99
141498,1,3.84
141499,1,600
141500,1,600
141501,1,3.84
141502,2,3.84
141503,1,389.99
141504,1,700
141505,1,389.99
141506,1,600
141507,1,150
141508,1,11.95
141509,1,14.95
141510,2,11.99
141511,1,389.99
141512,1,14.95
141513,1,150
141514,1,600
141515,1,379.99
141516,1,600
141517,1,700
141518,1,14.95
141519,1,14.95
141520,1,700
141521,1,11.99
141522,1,149.99
141523,1,600
141524,1,11.95
141525,2,2.99
141526,2,3.84
141527,1,150
141528,3,2.99
141529,1,99.99
141530,1,2.99
141531,1,300
141532,1,14.95
141533,1,379.99
141534,1,99.99
141535,1,11.99
141536,1,2.99
141537,1,14.95
141538,1,149.99
141539,1,149.99
141540,1,150
141541,1,2.99
141542,1,3.84
141543,1,14.95
141544,1,14.95
141545,1,600
141546,1,109.99
141547,2,11.95
141548,1,14.95
141549,1,149.99
141550,1,700
141550,2,150
141550,1,11.99
141551,2,14.95
141552,1,99.99
141553,1,99.99
141554,1,11.95
141555,3,2.99
141556,1,11.95
141557,1,14.95
141558,1,389.99
141559,1,11.99
141560,1,379.99
141561,1,11.99
141562,1,99.99
141563,1,11.95
141564,1,150
141565,1,11.99
141566,1,149.99
141567,1,14.95
141568,1,999.99
141569,1,1700
141570,1,11.95
141571,1,14.95
141572,1,2.99
141573,1,14.95
141574,1,14.95
141575,1,11.95
141576,1,150
141577,1,300
141578,1,99.99
141579,1,14.95
141580,1,3.84
141581,1,150
141582,1,700
141583,1,11.95
141584,1,1700
141585,2,3.84
141586,1,14.95
141587,1,11.95
141587,1,150
141588,1,3.84
141589,1,11.99
141590,1,99.99
141591,1,999.99
141592,2,3.84
141593,1,99.99
141594,1,2.99
141595,1,999.99
141596,1,14.95
141597,2,2.99
141598,1,109.99
141599,1,2.99
141600,2,2.99
141601,1,14.95
141602,1,149.99
141603,1,11.99
141604,1,149.99
141605,1,11.99
141606,1,14.95
141607,2,3.84
141608,1,14.95
141609,1,150
141610,1,14.95
141611,1,150
141612,1,150
141613,1,2.99
141614,1,3.84
141615,1,11.99
141616,1,3.84
141617,1,11.99
141618,1,99.99
141619,1,149.99
141620,3,2.99
141621,1,2.99
141622,1,11.95
141623,1,600
141624,1,11.95
141625,4,2.99
141626,1,150
141627,1,300
141628,1,3.84
141629,1,149.99
141630,1,11.95
141631,1,14.95
141632,1,700
141633,1,3.84
141634,1,2.99
141635,1,11.99
141636,1,150
141637,2,3.84
141638,2,2.99
141639,1,999.99
141640,1,1700
141641,1,109.99
141642,1,2.99
141643,1,99.99
141644,1,2.99
141645,1,14.95
141645,1,11.99
141646,1,14.95
141647,1,109.99
141648,1,600
141649,1,14.95
141650,2,2.99
141651,1,3.84
141652,1,14.95
141653,1,3.84
141654,1,3.84
141655,1,11.99
141656,1,150
141657,1,2.99
141658,1,3.84
141659,1,1700
141660,1,11.95
141661,1,11.95
141662,1,2.99
141663,1,700
141664,1,600
141665,1,389.99
141666,2,3.84
141667,3,14.95
141668,1,14.95
141669,1,389.99
141670,1,700
141671,2,2.99
141672,1,11.99
141673,1,11.95
141674,1,2.99
141675,3,11.95
141676,1,400
141677,1,149.99
141678,1,150
141679,1,379.99
141680,2,11.95
141681,1,3.84
141682,1,379.99
141683,1,2.99
141684,1,389.99
141685,1,11.99
141686,1,150
141687,1,3.84
141688,1,3.84
141689,1,379.99
141690,1,1700
141691,1,379.99
141692,1,99.99
141693,1,11.99
141694,1,11.99
141695,1,2.99
141696,1,400
141697,1,14.95
141698,1,389.99
141699,1,11.95
141700,1,150
141701,1,1700
141702,1,700
141703,1,700
141704,1,389.99
141705,1,150
141706,1,11.95
141707,1,3.84
141708,1,11.99
141709,1,600
141710,1,11.95
141711,1,11.95
141712,1,3.84
141713,1,11.95
141714,1,11.95
141715,1,99.99
141716,1,99.99
141717,1,2.99
141718,1,600
141719,1,389.99
141720,1,11.95
141721,1,3.84
141722,1,1700
141723,1,11.99
141724,1,14.95
141725,1,11.99
141726,1,11.95
141727,2,14.95
141728,1,2.99
141729,1,11.99
141730,1,14.95
141731,1,1700
141732,1,700
141733,1,389.99
141734,1,99.99
141735,1,379.99
141736,1,11.95
141737,1,999.99
141738,1,700
141738,1,14.95
141739,1,3.84
141740,1,3.84
141741,1,99.99
141742,1,11.95
141743,1,11.95
141744,1,150
141745,2,2.99
141746,2,14.95
141747,1,149.99
141748,1,150
141749,1,300
141750,1,149.99
141751,1,389.99
141752,1,14.95
141753,2,11.95
141754,2,150
141755,3,3.84
141756,1,99.99
141757,1,149.99
141758,1,11.99
141759,1,2.99
141760,1,400
141761,1,14.95
141762,1,99.99
141763,2,149.99
141764,1,11.95
141765,1,14.95
141766,1,600
141767,1,109.99
141768,1,11.95
141769,2,3.84
141770,1,11.99
141771,1,14.95
141772,1,150
141773,1,11.95
141774,1,99.99
141775,1,11.95
141776,1,14.95
141777,1,11.95
141778,1,14.95
141779,1,14.95
141780,1,11.99
141781,1,150
141782,1,149.99
141782,1,99.99
141783,1,99.99
141784,1,389.99
141785,1,150
141786,1,1700
141787,1,150
141788,2,3.84
141789,1,600
141789,2,11.95
141790,1,2.99
141791,1,11.95
141792,1,11.95
141793,1,3.84
141794,1,99.99
141795,1,700
141795,1,11.99
141796,1,2.99
141797,1,149.99
141798,1,109.99
141799,1,3.84
141800,1,149.99
141801,1,11.95
141802,1,300
141803,1,389.99
141804,1,99.99
141805,1,99.99
141806,1,389.99
141807,1,400
141808,1,14.95
141809,1,600
141809,1,11.95
141810,1,14.95
141811,1,2.99
141812,1,3.84
141813,1,11.95
141814,1,109.99
141815,2,2.99
141816,1,379.99
141817,1,600
141818,1,3.84
141819,2,2.99
141820,1,14.95
141821,1,11.95
141822,1,14.95
141823,1,11.95
141824,1,11.99
141825,1,14.95
141826,1,14.95
141827,1,109.99
141828,1,3.84
141829,1,300
141830,1,11.95
141831,1,99.99
141832,1,379.99
141833,1,379.99
141834,1,149.99
141835,1,300
141836,2,2.99
141837,1,99.99
141838,1,11.99
141839,1,11.95
141840,1,11.95
141841,1,99.99
141842,1,99.99
141843,1,3.84
141843,1,2.99
141844,1,14.95
141845,1,2.99
141846,1,3.84
141847,1,99.99
141848,1,11.95
141849,1,99.99
141850,1,2.99
141851,1,149.99
141852,1,11.95
141853,1,150
141854,1,109.99
141855,1,999.99
141856,1,14.95
141857,1,99.99
141858,1,11.95
141859,1,3.84
141860,1,999.99
141861,1,149.99
141862,1,11.99
141863,1,2.99
141864,1,389.99
141865,2,11.99
141866,1,99.99
141867,1,150
141868,1,11.99
141869,1,109.99
141870,2,3.84
141871,1,14.95
141872,1,379.99
141873,1,379.99
141874,1,14.95
141875,1,3.84
141876,1,150
141877,1,11.95
141878,1,150
141879,1,3.84
141880,2,2.99
141881,7,2.99
141882,1,3.84
141883,1,3.84
141884,1,600
141885,1,11.99
141886,1,700
141887,2,2.99
141888,1,700
141889,1,379.99
141890,1,14.95
141891,1,11.95
141892,2,3.84
141893,1,3.84
141894,1,150
141895,3,3.84
141896,1,3.84
141897,1,600
141898,1,300
141899,2,2.99
141900,1,400
141900,1,11.95
141900,1,11.99
141901,1,600
141901,1,11.95
141902,1,11.99
141903,1,999.99
141904,1,150
141905,1,11.95
141906,2,2.99
141907,1,11.95
141908,1,150
141909,2,3.84
141910,1,400
141910,1,11.99
141911,1,14.95
141912,1,150
141913,1,2.99
141914,1,99.99
141915,2,2.99
141916,1,11.99
141917,1,2.99
141918,1,99.99
141919,1,11.99
141920,1,11.99
141921,1,14.95
141922,1,3.84
141923,1,14.95
141924,1,11.95
141925,1,14.95
141926,2,109.99
141927,1,149.99
141928,1,150
141929,2,3.84
141930,1,109.99
141931,1,11.95
141932,1,14.95
141933,1,11.99
141934,1,300
141935,1,379.99
141936,1,14.95
141937,1,11.95
141938,1,1700
141939,1,379.99
141939,1,14.95
141940,1,99.99
141941,1,109.99
141942,1,2.99
141943,1,14.95
141944,1,109.99
141945,1,11.95
141946,1,11.95
141946,1,11.99
141947,1,14.95
141947,1,99.99
141948,1,149.99
141949,1,11.95
141950,1,2.99
141951,1,999.99
141952,1,14.95
141953,1,1700
141954,1,600
141955,1,14.95
141956,1,300
141957,2,11.95
141958,1,14.95
141959,1,11.99
141960,3,3.84
141961,1,700
141962,1,3.84
141963,1,99.99
141964,1,3.84
141965,1,600
141965,1,11.99
141966,1,14.95
141967,1,700
141967,1,11.99
141968,1,300
141969,1,149.99
141970,1,150
141970,1,14.95
141971,1,379.99
141972,1,600
141972,1,700
141973,1,2.99
141974,1,2.99
141975,1,3.84
141976,1,11.95
141977,1,149.99
141978,1,11.99
141979,1,300
141980,1,99.99
141981,1,109.99
141982,1,149.99
141983,1,389.99
141984,1,400
141985,1,150
141986,1,14.95
141987,1,600
141988,1,99.99
141989,1,99.99
141990,1,11.95
141991,2,2.99
141992,1,99.99
141993,1,700
141993,1,11.99
141994,1,14.95
141995,1,3.84
141996,1,14.95
141997,1,149.99
141998,3,2.99
141999,1,149.99
142000,1,389.99
142001,1,2.99
142002,1,149.99
142003,1,14.95
142004,1,99.99
142005,1,11.95
142006,1,99.99
142007,1,149.99
142008,1,11.99
142009,1,700
142010,1,700
142010,1,14.95
142011,1,150
142012,2,2.99
142013,1,99.99
142014,1,1700
142015,1,150
142016,2,2.99
142017,1,389.99
142018,1,11.95
142019,1,14.95
142020,1,11.95
142021,1,14.95
142022,1,3.84
142023,1,109.99
142023,1,11.99
142024,1,2.99
142025,1,300
142026,1,600
142027,1,11.99
142028,1,3.84
142029,1,109.99
142030,1,2.99
142031,1,3.84
142032,1,300
142033,1,150
142034,1,150
142035,1,700
142036,1,999.99
142037,1,700
142037,1,150
142038,3,2.99
142039,1,600
142039,3,11.95
142040,1,14.95
142041,1,14.95
142042,2,14.95
142043,1,300
142044,1,11.95
142045,1,999.99
142046,2,11.99
142047,1,3.84
142048,1,600
142048,1,11.99
142049,1,2.99
142050,1,149.99
142051,1,11.95
142052,1,1700
142053,1,150
142054,1,99.99
142055,1,99.99
142056,1,11.95
142057,1,600
142058,1,700
142059,1,1700
142060,1,14.95
142061,1,3.84
142062,1,11.99
142063,1,2.99
142064,2,3.84
142065,2,2.99
142066,1,389.99
142067,1,149.99
142068,1,389.99
142069,2,2.99
142070,1,11.95
142071,1,3.84
142071,1,3.84
142072,1,999.99
142073,1,11.99
142074,1,99.99
142075,1,11.99
142076,1,11.99
142077,1,150
142078,1,3.84
142079,1,3.84
142080,1,11.95
142081,1,2.99
142082,1,2.99
142083,1,1700
142084,3,11.95
142085,1,700
142085,1,14.95
142086,1,14.95
142087,1,389.99
142088,1,600
142089,1,11.95
142090,1,11.99
142091,1,2.99
142092,1,99.99
142093,1,14.95
142094,1,11.99
142095,1,150
142096,1,11.95
142097,1,14.95
142098,3,3.84
142099,2,3.84
142100,1,99.99
142101,1,700
142102,1,2.99
142103,1,700
142104,1,150
142105,1,999.99
142106,1,389.99
142107,1,14.95
142108,1,600
142109,1,1700
142110,1,11.95
142111,1,14.95
142112,1,109.99
142112,1,99.99
142113,3,2.99
142114,1,99.99
142115,1,150
142116,1,3.84
142117,1,1700
142118,1,99.99
142119,1,11.95
142120,1,389.99
142121,1,11.99
142122,1,150
142123,1,14.95
142124,2,3.84
142125,1,14.95
142126,2,2.99
142127,1,11.99
142128,1,600
142128,1,99.99
142128,2,11.99
142129,1,150
142130,1,600
142131,1,2.99
142132,2,11.95
142133,1,11.95
142134,1,600
142135,1,11.95
142136,1,3.84
142137,1,2.99
142138,1,3.84
142139,2,3.84
142140,1,14.95
142141,1,11.99
142142,1,11.99
142143,1,11.95
142144,1,400
142144,1,11.95
142145,1,150
142145,1,11.95
142146,4,2.99
142147,1,389.99
142148,1,379.99
142149,3,3.84
142150,2,3.84
142151,3,3.84
142152,1,1700
142153,1,11.99
142154,1,11.95
142155,1,150
142156,1,379.99
142157,1,1700
142158,1,11.99
142159,1,11.99
142160,1,11.99
142161,1,99.99
142162,1,149.99
142163,1,150
142164,1,11.95
142165,2,3.84
142166,1,11.95
142167,1,11.95
142168,1,14.95
142169,4,2.99
142170,1,11.99
142171,1,11.99
142172,1,150
142173,1,700
142174,1,14.95
142175,1,2.99
142176,1,150
142177,1,1700
142178,1,2.99
142179,1,999.99
142180,1,11.95
142181,1,149.99
142182,1,11.99
142183,1,379.99
142184,2,2.99
142185,1,99.99
142186,1,379.99
142187,1,109.99
142188,1,11.95
142189,1,11.95
142190,1,379.99
142191,1,109.99
142192,1,600
142192,1,11.95
142193,1,149.99
142194,1,999.99
142195,1,150
142196,1,3.84
142197,1,3.84
142198,2,3.84
142199,1,109.99
142200,1,300
142201,1,2.99
142202,1,149.99
142203,1,99.99
142204,1,99.99
142205,1,99.99
142206,1,1700
142207,1,99.99
142208,1,99.99
142209,1,379.99
142210,1,3.84
142211,1,11.99
142212,3,3.84
142213,1,150
142214,3,2.99
142215,1,300
142216,1,2.99
142217,1,99.99
142218,1,11.99
142219,1,149.99
142220,1,300
142221,1,300
142222,1,3.84
142223,1,11.99
142224,1,11.95
142225,1,14.95
142226,3,2.99
142227,1,11.99
142228,1,1700
142229,1,149.99
142230,1,600
142230,1,11.95
142231,2,11.99
142232,2,11.99
142233,1,14.95
142234,1,14.95
142235,1,3.84
142236,1,2.99
142237,1,2.99
142238,2,3.84
142239,2,3.84
142240,1,379.99
142241,1,11.95
142242,1,11.95
142243,1,11.95
142244,1,3.84
142245,1,1700
142246,1,14.95
142247,1,99.99
142248,1,11.99
142249,1,14.95
142250,1,14.95
142251,1,999.99
142252,1,11.95
142253,1,149.99
142254,1,11.99
142255,1,300
142256,1,2.99
142257,1,700
142258,1,14.95
142259,1,600
142260,2,2.99
142261,1,700
142261,1,11.99
142262,1,11.95
142263,1,11.99
142264,1,600
142265,2,11.99
142266,4,3.84
142267,1,3.84
142268,1,3.84
142269,1,11.99
142270,1,379.99
142271,1,600
142272,1,600
142273,1,379.99
142274,1,300
142275,2,14.95
142276,1,99.99
142277,1,2.99
142278,1,11.95
142279,1,2.99
142280,1,150
142281,1,600
142282,1,3.84
142283,1,14.95
142284,1,3.84
142285,1,150
142286,1,999.99
142287,1,600
142287,1,11.95
142287,1,11.99
142288,1,2.99
142289,1,149.99
142290,1,150
142291,1,389.99
142292,2,3.84
142293,1,11.99
142294,1,379.99
142295,1,389.99
142296,1,150
142297,1,11.95
142298,1,14.95
142299,1,700
142299,1,11.99
142300,1,11.95
142301,1,99.99
142302,1,150
142303,1,11.95
142304,1,14.95
142305,2,2.99
142306,1,14.95
142307,1,389.99
142308,1,600
142308,1,11.99
142309,1,11.99
142310,2,2.99
142311,1,14.95
142312,1,2.99
142313,1,11.99
142314,1,1700
142315,1,11.99
142316,1,14.95
142317,1,300
142318,2,3.84
142319,1,99.99
142319,1,600
142320,1,600
142320,1,700
142321,1,11.95
142322,1,389.99
142323,1,99.99
142324,1,2.99
142325,1,149.99
142326,3,3.84
142327,1,3.84
142328,1,14.95
142329,1,2.99
142330,3,11.95
142331,1,11.95
142332,1,600
142333,1,2.99
142334,1,11.95
142335,1,14.95
142336,1,109.99
142337,1,3.84
142338,1,109.99
142339,2,11.99
142340,1,11.99
142341,1,99.99
142342,1,389.99
142343,1,3.84
142344,1,389.99
142345,2,2.99
142346,1,11.99
142347,1,600
142348,1,99.99
142349,1,3.84
142350,1,700
142350,1,11.99
142351,1,99.99
142352,1,11.99
142353,1,700
142354,1,1700
142355,1,700
142356,1,1700
142357,1,700
142358,1,150
142359,1,11.99
